put_code,title,orcid_year,external_identifiers,reason
108170958,Workers’ perceptions of climate change and the green transition in Yorkshire and the Humber: Building the evidence base for the just transition in the region,2021,source-work-id:579153,ORCID-only record lacks sufficient authoritative bibliographic verification
103440225,Yorkshire and Humber Climate Action Plan,2021,source-work-id:573108,ORCID-only record lacks sufficient authoritative bibliographic verification
103489161,From car-free days to pollution-free cities: Reflections on clean urban transport in Rwanda,2021,source-work-id:573151,ORCID-only record lacks sufficient authoritative bibliographic verification
103144347,A Net Zero Carbon Roadmap for Edinburgh,2020,source-work-id:549005,ORCID-only record lacks sufficient authoritative bibliographic verification
103144349,A Net Zero Carbon Roadmap for Belfast,2020,source-work-id:549006,ORCID-only record lacks sufficient authoritative bibliographic verification
103144348,A Net-Zero Carbon Roadmap for Leeds,2020,source-work-id:549004,ORCID-only record lacks sufficient authoritative bibliographic verification
103144373,Financing climate action with positive social impact: How banking can support a just transition in the UK,2020,source-work-id:533537,ORCID-only record lacks sufficient authoritative bibliographic verification
103144369,"Building Climate Resilience and Water Security in Cities: Lessons from the sponge city of Wuhan, China",2020,source-work-id:521702,ORCID-only record lacks sufficient authoritative bibliographic verification
103144370,"Towards Sustainable Mobility and Improved Public Health: Lessons from bike sharing in Shanghai, China",2020,source-work-id:521704,ORCID-only record lacks sufficient authoritative bibliographic verification
103144364,"Secure and equal access to land for all: Lessons on land governance and climate resilience from Dar es Salaam, Tanzania",2020,source-work-id:517588,ORCID-only record lacks sufficient authoritative bibliographic verification
103144372,Banking the just transition in the UK,2019,source-work-id:523488,ORCID-only record lacks sufficient authoritative bibliographic verification
103144355,"Supporting decent livelihoods through sustainable service provision: Lessons on solid waste management from Kampala, Uganda",2019,source-work-id:496835,ORCID-only record lacks sufficient authoritative bibliographic verification
103144357,"Sustainable urban infrastructure for all: Lessons on solar-powered street lights from Kampala and Jinja, Uganda",2019,source-work-id:496241,ORCID-only record lacks sufficient authoritative bibliographic verification
103144368,Investing in a just transition in the UK: How investors can integrate social impact and place-based financing into climate strategies,2019,source-work-id:518868,ORCID-only record lacks sufficient authoritative bibliographic verification
103144362,"Reduced waste and improved livelihoods for all: Lessons on waste management from Ahmedabad, India",2018,source-work-id:491032,ORCID-only record lacks sufficient authoritative bibliographic verification
103144361,"Affordable and clean energy for all: Lessons on rooftop solar from Delhi, India",2018,source-work-id:491034,ORCID-only record lacks sufficient authoritative bibliographic verification
103144363,"Resilient and affordable housing for all: Lessons on house building from Kochi and Trivandrum, India",2018,source-work-id:491031,ORCID-only record lacks sufficient authoritative bibliographic verification
103144358,Accelerating Low Carbon Development in the World’s Cities,2015,source-work-id:333645,ORCID-only record lacks sufficient authoritative bibliographic verification
103144371,"Improving Energy Efficiency for All: Lessons on Sustainable Building Retrofits from Shanghai, China",,source-work-id:523020,ORCID-only record lacks sufficient authoritative bibliographic verification
103144377,"The Economics of Low Carbon Development: Calgary, Canada",,source-work-id:546258,ORCID-only record lacks sufficient authoritative bibliographic verification
